rank,name,githubLogin,department,commitCount,pullRequestCount,issueCount,repositoryCount,starCount,total
35,synthetic-name-35,synthetic-35,synthetic-department,1,2,3,4,5,15
36,synthetic-name-36,synthetic-36,synthetic-department,1,2,3,4,5,15
37,synthetic-name-37,synthetic-37,synthetic-department,1,2,3,4,5,15
38,synthetic-name-38,synthetic-38,synthetic-department,1,2,3,4,5,15
39,synthetic-name-39,synthetic-39,synthetic-department,1,2,3,4,5,15
40,synthetic-name-40,synthetic-40,synthetic-department,1,2,3,4,5,15
41,synthetic-name-41,synthetic-41,synthetic-department,1,2,3,4,5,15
42,synthetic-name-42,synthetic-42,synthetic-department,1,2,3,4,5,15
43,synthetic-name-43,synthetic-43,synthetic-department,1,2,3,4,5,15
44,synthetic-name-44,synthetic-44,synthetic-department,1,2,3,4,5,15
45,synthetic-name-45,synthetic-45,synthetic-department,1,2,3,4,5,15
46,synthetic-name-46,synthetic-46,synthetic-department,1,2,3,4,5,15
47,synthetic-name-47,synthetic-47,synthetic-department,1,2,3,4,5,15
48,synthetic-name-48,synthetic-48,synthetic-department,1,2,3,4,5,15
49,synthetic-name-49,synthetic-49,synthetic-department,1,2,3,4,5,15
50,synthetic-name-50,synthetic-50,synthetic-department,1,2,3,4,5,15
51,synthetic-name-51,synthetic-51,synthetic-department,1,2,3,4,5,15
52,synthetic-name-52,synthetic-52,synthetic-department,1,2,3,4,5,15
53,synthetic-name-53,synthetic-53,synthetic-department,1,2,3,4,5,15
54,synthetic-name-54,synthetic-54,synthetic-department,1,2,3,4,5,15
55,synthetic-name-55,synthetic-55,synthetic-department,1,2,3,4,5,15
56,synthetic-name-56,synthetic-56,synthetic-department,1,2,3,4,5,15
57,synthetic-name-57,synthetic-57,synthetic-department,1,2,3,4,5,15
58,synthetic-name-58,synthetic-58,synthetic-department,1,2,3,4,5,15
59,synthetic-name-59,synthetic-59,synthetic-department,1,2,3,4,5,15
60,synthetic-name-60,synthetic-60,synthetic-department,1,2,3,4,5,15
61,synthetic-name-61,synthetic-61,synthetic-department,1,2,3,4,5,15
62,synthetic-name-62,synthetic-62,synthetic-department,1,2,3,4,5,15
63,synthetic-name-63,synthetic-63,synthetic-department,1,2,3,4,5,15
64,synthetic-name-64,synthetic-64,synthetic-department,1,2,3,4,5,15
65,synthetic-name-65,synthetic-65,synthetic-department,1,2,3,4,5,15
66,synthetic-name-66,synthetic-66,synthetic-department,1,2,3,4,5,15
67,synthetic-name-67,synthetic-67,synthetic-department,1,2,3,4,5,15
68,synthetic-name-68,synthetic-68,synthetic-department,1,2,3,4,5,15
69,synthetic-name-69,synthetic-69,synthetic-department,1,2,3,4,5,15
70,synthetic-name-70,synthetic-70,synthetic-department,1,2,3,4,5,15
71,synthetic-name-71,synthetic-71,synthetic-department,1,2,3,4,5,15
72,synthetic-name-72,synthetic-72,synthetic-department,1,2,3,4,5,15
73,synthetic-name-73,synthetic-73,synthetic-department,1,2,3,4,5,15
74,synthetic-name-74,synthetic-74,synthetic-department,1,2,3,4,5,15
75,synthetic-name-75,synthetic-75,synthetic-department,1,2,3,4,5,15
76,synthetic-name-76,synthetic-76,synthetic-department,1,2,3,4,5,15
77,synthetic-name-77,synthetic-77,synthetic-department,1,2,3,4,5,15
78,synthetic-name-78,synthetic-78,synthetic-department,1,2,3,4,5,15
79,synthetic-name-79,synthetic-79,synthetic-department,1,2,3,4,5,15
80,synthetic-name-80,synthetic-80,synthetic-department,1,2,3,4,5,15
81,synthetic-name-81,synthetic-81,synthetic-department,1,2,3,4,5,15
82,synthetic-name-82,synthetic-82,synthetic-department,1,2,3,4,5,15
83,synthetic-name-83,synthetic-83,synthetic-department,1,2,3,4,5,15
84,synthetic-name-84,synthetic-84,synthetic-department,1,2,3,4,5,15
85,synthetic-name-85,synthetic-85,synthetic-department,1,2,3,4,5,15
86,synthetic-name-86,synthetic-86,synthetic-department,1,2,3,4,5,15
87,synthetic-name-87,synthetic-87,synthetic-department,1,2,3,4,5,15
88,synthetic-name-88,synthetic-88,synthetic-department,1,2,3,4,5,15
89,synthetic-name-89,synthetic-89,synthetic-department,1,2,3,4,5,15
90,synthetic-name-90,synthetic-90,synthetic-department,1,2,3,4,5,15
91,synthetic-name-91,synthetic-91,synthetic-department,1,2,3,4,5,15
92,synthetic-name-92,synthetic-92,synthetic-department,1,2,3,4,5,15
93,synthetic-name-93,synthetic-93,synthetic-department,1,2,3,4,5,15
94,synthetic-name-94,synthetic-94,synthetic-department,1,2,3,4,5,15
95,synthetic-name-95,synthetic-95,synthetic-department,1,2,3,4,5,15
96,synthetic-name-96,synthetic-96,synthetic-department,1,2,3,4,5,15
97,synthetic-name-97,synthetic-97,synthetic-department,1,2,3,4,5,15
98,synthetic-name-98,synthetic-98,synthetic-department,1,2,3,4,5,15
99,synthetic-name-99,synthetic-99,synthetic-department,1,2,3,4,5,15
100,synthetic-name-100,synthetic-100,synthetic-department,1,2,3,4,5,15
101,synthetic-name-101,synthetic-101,synthetic-department,1,2,3,4,5,15
102,synthetic-name-102,synthetic-102,synthetic-department,1,2,3,4,5,15
103,synthetic-name-103,synthetic-103,synthetic-department,1,2,3,4,5,15
104,synthetic-name-104,synthetic-104,synthetic-department,1,2,3,4,5,15
105,synthetic-name-105,synthetic-105,synthetic-department,1,2,3,4,5,15
106,synthetic-name-106,synthetic-106,synthetic-department,1,2,3,4,5,15
107,synthetic-name-107,synthetic-107,synthetic-department,1,2,3,4,5,15
108,synthetic-name-108,synthetic-108,synthetic-department,1,2,3,4,5,15
109,synthetic-name-109,synthetic-109,synthetic-department,1,2,3,4,5,15
110,synthetic-name-110,synthetic-110,synthetic-department,1,2,3,4,5,15
111,synthetic-name-111,synthetic-111,synthetic-department,1,2,3,4,5,15
112,synthetic-name-112,synthetic-112,synthetic-department,1,2,3,4,5,15
113,synthetic-name-113,synthetic-113,synthetic-department,1,2,3,4,5,15
114,synthetic-name-114,synthetic-114,synthetic-department,1,2,3,4,5,15
115,synthetic-name-115,synthetic-115,synthetic-department,1,2,3,4,5,15
116,synthetic-name-116,synthetic-116,synthetic-department,1,2,3,4,5,15
117,synthetic-name-117,synthetic-117,synthetic-department,1,2,3,4,5,15
118,synthetic-name-118,synthetic-118,synthetic-department,1,2,3,4,5,15
119,synthetic-name-119,synthetic-119,synthetic-department,1,2,3,4,5,15
120,synthetic-name-120,synthetic-120,synthetic-department,1,2,3,4,5,15
121,synthetic-name-121,synthetic-121,synthetic-department,1,2,3,4,5,15
122,synthetic-name-122,synthetic-122,synthetic-department,1,2,3,4,5,15
123,synthetic-name-123,synthetic-123,synthetic-department,1,2,3,4,5,15
124,synthetic-name-124,synthetic-124,synthetic-department,1,2,3,4,5,15
125,synthetic-name-125,synthetic-125,synthetic-department,1,2,3,4,5,15
126,synthetic-name-126,synthetic-126,synthetic-department,1,2,3,4,5,15
127,synthetic-name-127,synthetic-127,synthetic-department,1,2,3,4,5,15
128,synthetic-name-128,synthetic-128,synthetic-department,1,2,3,4,5,15
129,synthetic-name-129,synthetic-129,synthetic-department,1,2,3,4,5,15
130,synthetic-name-130,synthetic-130,synthetic-department,1,2,3,4,5,15
131,synthetic-name-131,synthetic-131,synthetic-department,1,2,3,4,5,15
132,synthetic-name-132,synthetic-132,synthetic-department,1,2,3,4,5,15
133,synthetic-name-133,synthetic-133,synthetic-department,1,2,3,4,5,15
134,synthetic-name-134,synthetic-134,synthetic-department,1,2,3,4,5,15
135,synthetic-name-135,synthetic-135,synthetic-department,1,2,3,4,5,15
136,synthetic-name-136,synthetic-136,synthetic-department,1,2,3,4,5,15
137,synthetic-name-137,synthetic-137,synthetic-department,1,2,3,4,5,15
138,synthetic-name-138,synthetic-138,synthetic-department,1,2,3,4,5,15
139,synthetic-name-139,synthetic-139,synthetic-department,1,2,3,4,5,15
140,synthetic-name-140,synthetic-140,synthetic-department,1,2,3,4,5,15
141,synthetic-name-141,synthetic-141,synthetic-department,1,2,3,4,5,15
142,synthetic-name-142,synthetic-142,synthetic-department,1,2,3,4,5,15
143,synthetic-name-143,synthetic-143,synthetic-department,1,2,3,4,5,15
144,synthetic-name-144,synthetic-144,synthetic-department,1,2,3,4,5,15
145,synthetic-name-145,synthetic-145,synthetic-department,1,2,3,4,5,15
146,synthetic-name-146,synthetic-146,synthetic-department,1,2,3,4,5,15
147,synthetic-name-147,synthetic-147,synthetic-department,1,2,3,4,5,15
148,synthetic-name-148,synthetic-148,synthetic-department,1,2,3,4,5,15
149,synthetic-name-149,synthetic-149,synthetic-department,1,2,3,4,5,15
150,synthetic-name-150,synthetic-150,synthetic-department,1,2,3,4,5,15
151,synthetic-name-151,synthetic-151,synthetic-department,1,2,3,4,5,15
152,synthetic-name-152,synthetic-152,synthetic-department,1,2,3,4,5,15
153,synthetic-name-153,synthetic-153,synthetic-department,1,2,3,4,5,15
154,synthetic-name-154,synthetic-154,synthetic-department,1,2,3,4,5,15
155,synthetic-name-155,synthetic-155,synthetic-department,1,2,3,4,5,15
156,synthetic-name-156,synthetic-156,synthetic-department,1,2,3,4,5,15
157,synthetic-name-157,synthetic-157,synthetic-department,1,2,3,4,5,15
158,synthetic-name-158,synthetic-158,synthetic-department,1,2,3,4,5,15
159,synthetic-name-159,synthetic-159,synthetic-department,1,2,3,4,5,15
160,synthetic-name-160,synthetic-160,synthetic-department,1,2,3,4,5,15
161,synthetic-name-161,synthetic-161,synthetic-department,1,2,3,4,5,15
162,synthetic-name-162,synthetic-162,synthetic-department,1,2,3,4,5,15
163,synthetic-name-163,synthetic-163,synthetic-department,1,2,3,4,5,15
164,synthetic-name-164,synthetic-164,synthetic-department,1,2,3,4,5,15
165,synthetic-name-165,synthetic-165,synthetic-department,1,2,3,4,5,15
166,synthetic-name-166,synthetic-166,synthetic-department,1,2,3,4,5,15
167,synthetic-name-167,synthetic-167,synthetic-department,1,2,3,4,5,15
168,synthetic-name-168,synthetic-168,synthetic-department,1,2,3,4,5,15
169,synthetic-name-169,synthetic-169,synthetic-department,1,2,3,4,5,15
170,synthetic-name-170,synthetic-170,synthetic-department,1,2,3,4,5,15
171,synthetic-name-171,synthetic-171,synthetic-department,1,2,3,4,5,15
172,synthetic-name-172,synthetic-172,synthetic-department,1,2,3,4,5,15
173,synthetic-name-173,synthetic-173,synthetic-department,1,2,3,4,5,15
174,synthetic-name-174,synthetic-174,synthetic-department,1,2,3,4,5,15
175,synthetic-name-175,synthetic-175,synthetic-department,1,2,3,4,5,15
176,synthetic-name-176,synthetic-176,synthetic-department,1,2,3,4,5,15
177,synthetic-name-177,synthetic-177,synthetic-department,1,2,3,4,5,15
178,synthetic-name-178,synthetic-178,synthetic-department,1,2,3,4,5,15
179,synthetic-name-179,synthetic-179,synthetic-department,1,2,3,4,5,15
180,synthetic-name-180,synthetic-180,synthetic-department,1,2,3,4,5,15
181,synthetic-name-181,synthetic-181,synthetic-department,1,2,3,4,5,15
182,synthetic-name-182,synthetic-182,synthetic-department,1,2,3,4,5,15
183,synthetic-name-183,synthetic-183,synthetic-department,1,2,3,4,5,15
184,synthetic-name-184,synthetic-184,synthetic-department,1,2,3,4,5,15
185,synthetic-name-185,synthetic-185,synthetic-department,1,2,3,4,5,15
186,synthetic-name-186,synthetic-186,synthetic-department,1,2,3,4,5,15
187,synthetic-name-187,synthetic-187,synthetic-department,1,2,3,4,5,15
188,synthetic-name-188,synthetic-188,synthetic-department,1,2,3,4,5,15
189,synthetic-name-189,synthetic-189,synthetic-department,1,2,3,4,5,15
190,synthetic-name-190,synthetic-190,synthetic-department,1,2,3,4,5,15
191,synthetic-name-191,synthetic-191,synthetic-department,1,2,3,4,5,15
192,synthetic-name-192,synthetic-192,synthetic-department,1,2,3,4,5,15
193,synthetic-name-193,synthetic-193,synthetic-department,1,2,3,4,5,15
194,synthetic-name-194,synthetic-194,synthetic-department,1,2,3,4,5,15
195,synthetic-name-195,synthetic-195,synthetic-department,1,2,3,4,5,15
196,synthetic-name-196,synthetic-196,synthetic-department,1,2,3,4,5,15
197,synthetic-name-197,synthetic-197,synthetic-department,1,2,3,4,5,15
198,synthetic-name-198,synthetic-198,synthetic-department,1,2,3,4,5,15
199,synthetic-name-199,synthetic-199,synthetic-department,1,2,3,4,5,15
200,synthetic-name-200,synthetic-200,synthetic-department,1,2,3,4,5,15
201,synthetic-name-201,synthetic-201,synthetic-department,1,2,3,4,5,15
202,synthetic-name-202,synthetic-202,synthetic-department,1,2,3,4,5,15
203,synthetic-name-203,synthetic-203,synthetic-department,1,2,3,4,5,15
204,synthetic-name-204,synthetic-204,synthetic-department,1,2,3,4,5,15
205,synthetic-name-205,synthetic-205,synthetic-department,1,2,3,4,5,15
